,date,tweet
27,2022-10-30,#Halloween #ItaewonStampede  #ItaewonTragedy #ITAEWONHALLOWEEN  #SeoulStampede #Seoul #seoulhalloween  #梨泰院の事故 #梨泰院ハロウィン  超級恐怖的事故….告訴我們，警覺性必須提高…「人多的地方，絕對不要去」！👻💀😱🚷💢🇰🇷 梨泰院派對意外「人踩人」 已知151亡   https://t.co/c2KqQraJeJ
28,2022-10-30,"All available emergency services personnel in #Seoul were deployed to the streets to treat the injured following the stampede - with the National Fire Agency saying more than 1,700 responders attended the scene.  It is unclear what prompted the crowd surge  https://t.co/H5jV7MoJzn"
29,2022-10-30,Praying for itaewon. What happened is so heartbreaking. Condolences to the families of the victims I hope they rest in peace and everyone else stays safe.🤍 #Seoul #prayitaewon  https://t.co/k2ZmuygLl5
30,2022-10-30,President Barzani congratulates al-Sudani PM al-Sudani - Follow/RT/Fav - #NZvsSL : #HumanitySaviours : #ELONMUSK : #KnowAboutChhathPuja : #Seoul : Glenn Phillips : Liverpool : Klopp : Brighton : CBI Probe AD Raut InSSRCase :  https://t.co/IfUQf5iYu7
31,2022-10-30,"More than 150 people were killed in a ##stampede at a #Halloween event in central #Seoul, officials said Sunday, with South Korea's president vowing a full investigation into one of the country's worst disasters. #SouthKorean #SouthKoreaHalloween  https://t.co/X6ParjMHIK"
32,2022-10-30,Deepest condolences  to the people of #SouthKorea  Stay strong #Seoul  https://t.co/pY5X3pFHhO
33,2022-10-30,"If I may ask, what should a pastor that has the ability to cast demons and it stickers perform miracles be doing with bulletproof cars ? 🤷🏻‍♂️ To see the irony his family entered the bulletproof car 🚗 and the rest was in an unprotected car . Africans ndi eriri eri #PaulSilva #Seoul  https://t.co/di0Ytadj36"
34,2022-10-30,Crush kills at least 151 at Halloween festivities in  #Seoul #SouthKorean  How to save life in Korean people
35,2022-10-30,"Dubes RI untuk Korea Selatan, Gandi Sulistiyanto mengatakan, 2 orang WNI menjadi korban tragedi Halloween di Itaewon, Korea Selatan. Keduanya berisinial AR dan CA. Keduanya sempat menjalani perawatan dan telah kembali ke kediaman masing-masing.  #itaewon #seoul #halloween  https://t.co/AAUlVYOSVH"
36,2022-10-30,Horrified by the loss of so many young lives in what should have been a cheerful Halloween celebration in #Seoul. Closely following the situation. Our thoughts are with the families who lost their loved ones. Belgium stands in solidarity with the Republic of Korea. @FMParkJin
37,2022-10-30,Žurka za noć vještica postala je kobna za mnoge mlade ljude u Seoulu #juznakoreja #seoul #nocvjestica  https://t.co/x9Lm1RSBo5
38,2022-10-30,🕯😔 #Seoul
39,2022-10-30,#Stampede in #Seoul #DeathToll #Halloween #SouthKorea  https://t.co/yoJt2lgw6H  https://t.co/huHcT1UPlp
40,2022-10-30,FLOW Diverted By Bearish Current Amid Relative Inactivity – Here’s Why.⬇️👀 #Seoul #sundayvibes #bitcoin #Bitcoin #BitcoinBoy #Crypto #crypto #cryptocurrency #borreed8 #GFvip #bearish #relative #inactivity #NFTS #nfts #Web3 #news #NewsUpdates   https://t.co/vjhlmXUTa6
41,2022-10-30,Rest in peace ☮️  Praying for recovery soon 🙏 It's so heart breaking stay safe. #Itaewon #Seoul #Halloween  https://t.co/X9tDYO2Ox0
42,2022-10-30,All issues in one tweet #BANvsZIM #BoycottCadbury #UPneed_primary_teachers #MannKiBaat #FreePoJKfromPakistan #prayforitaewon  #INDvsSA #GreatSanatanDharma #Seoul  https://t.co/cc6ldRU0XO
43,2022-10-30,今回の悲劇により、亡くなられた方々のご冥福をお祈り致します。 これ以上、被害者が出ないことを願います。 そして、負傷された方々の1日も早い回復を祈っています。  #PrayforItaewon #PrayForSouthKorea  #梨泰院 #ソウル #ハロウィン #Itaewon #Seoul #helloween
44,2022-10-30,Headlines at 12 PM with @_tanima_biswas   #CoinbatoreBlastCase #SRAscam #Seoul  https://t.co/lJPNWRZzF3
45,2022-10-30,"Halloween Stampede: South Korean President Yoon Suk-yeol on Sunday announced a period of national mourning and ordered the lowering of flags after a deadly stampede killed at least 151 people during Halloween celebrations in #Itaewon, #Seoul.  #PrayForItaewon #ITAEWONHALLOWEEN  https://t.co/MYgm4jRcpX"
46,2022-10-30,During these tragedies we can stop and ponder about how fragile life is and how much we need to embrace loved ones and value more connection with each other and not only with our phones. #Halloween #prayforitaewon #이태원 #Seoul #Itaewon
47,2022-10-30,"Itaewon, site of deadly stampede, known for hip nightlife, chic restaurants   https://t.co/Tvybx7NK4X  #Itaewon #Stampede #Nightlife #ChicRestaurants #Seoul #HalloweenStampede #ItaewonHalloweenStampede #ItaewonStampede #SeoulStampede #SouthKorea"
48,2022-10-30,Zee News पर Live - सियोल की सड़कों पर मौत की भगदड़  #Halloween #Seoul   https://t.co/YBKPEDduHP
49,2022-10-30,bay zubhan sah bay jahan haii🥀 #PaulSilva #dogecoin #Halloween #Seoul #ELONMUSK #Strictly #AI #armaninfluencer #blogger @Stocktwits @MrBeast @Twitter  @elonmusk @Tesla @stockx @Stocktwits @FOREXcom  https://t.co/30v0x4HKun
50,2022-10-30,#Seoul  https://t.co/nVY6nm4icU
51,2022-10-30,#Halloween #ItaewonStampede  #ItaewonTragedy #ITAEWONHALLOWEEN  #SeoulStampede #Seoul #seoulhalloween  #梨泰院の事故 #梨泰院ハロウィン  超級恐怖的事故….告訴我們，警覺性必須提高…「人多的地方，絕對不要去」！👻💀😱🚷💢🇰🇷 梨泰院意外時間軸出爐「22點22分」   https://t.co/LThKjLdafj
52,2022-10-30,"We are deeply saddened by loss of lives during the tragic stampede in #Seoul, Republic of Korea. We express our condolences to the Government and people of Korea. We wish for a quick recovery to all those who were injured. @MOFAkr_eng"
